Date,Temp (°C),Humidity (%),Season,Solar Energy (kWh),Precipitation (mm),Population,Total Usage (kWh),Urban Usage (kWh),Rural Usage (kWh)
2018-01-01,19.4,62.6,Winter,18.6,0.0,3130000,2870.0,2009.0,861.0
2018-01-02,19.4,64.0,Winter,18.7,0.0,3130000,2875.0,2012.5,862.5
2018-01-03,19.5,66.6,Winter,18.8,0.0,3130000,2890.0,2023.0,867.0
2018-01-04,20.1,66.6,Winter,18.4,0.0,3130000,2930.0,2051.0,879.0
2018-01-05,20.0,66.7,Winter,17.5,0.0,3130000,2875.0,2012.5,862.5
2018-01-06,19.8,62.6,Winter,18.3,0.0,3130000,2895.0,2026.5,868.5
2018-01-07,19.0,63.2,Winter,18.9,0.0,3130000,2845.0,1991.5,853.5
2018-01-08,19.0,63.3,Winter,18.9,0.0,3130000,2845.0,1991.5,853.5
2018-01-09,19.2,64.8,Winter,18.9,0.0,3130000,2865.0,2005.5,859.5
2018-01-10,20.0,65.3,Winter,18.4,0.0,3130000,2920.0,2044.0,876.0
2018-01-11,21.8,64.3,Winter,16.6,0.0,3130000,3010.0,2107.0,903.0
2018-01-12,23.0,64.7,Winter,15.3,0.0,3130000,3065.0,2145.5,919.5
2018-01-13,22.8,68.0,Winter,15.7,0.0,3130000,3065.0,2145.5,919.5
2018-01-14,23.0,66.2,Winter,14.5,0.0,3130000,3025.0,2117.5,907.5
2018-01-15,23.1,68.3,Winter,14.3,0.0,3130000,3025.0,2117.5,907.5
2018-01-16,23.3,65.1,Winter,15.6,0.0,3130000,3110.0,2177.0,933.0
2018-01-17,22.6,54.8,Winter,18.4,0.0,3130000,3180.0,2226.0,954.0
2018-01-18,21.3,58.7,Winter,18.8,0.0,3130000,3070.0,2149.0,921.0
2018-01-19,21.0,57.6,Winter,19.2,0.0,3130000,3060.0,2142.0,918.0
2018-01-20,20.6,56.6,Winter,20.2,0.0,3130000,3070.0,2149.0,921.0
2018-01-21,20.2,55.8,Winter,20.3,0.0,3130000,3035.0,2124.5,910.5
2018-01-22,20.7,57.8,Winter,20.1,0.0,3130000,3075.0,2152.5,922.5
2018-01-23,20.5,65.4,Winter,20.1,50.0,3130000,3055.0,2138.5,916.5
2018-01-24,19.2,68.1,Winter,20.4,0.0,3130000,2940.0,2058.0,882.0
2018-01-25,19.3,59.5,Winter,20.6,0.0,3130000,2960.0,2072.0,888.0
2018-01-26,19.5,56.6,Winter,20.9,0.0,3130000,2995.0,2096.5,898.5
2018-01-27,19.8,57.2,Winter,20.8,0.0,3130000,3020.0,2114.0,906.0
2018-01-28,20.7,56.6,Winter,20.6,0.0,3130000,3100.0,2170.0,930.0
2018-01-29,20.6,59.1,Winter,20.8,0.0,3130000,3100.0,2170.0,930.0
2018-01-30,21.0,53.3,Winter,21.1,0.0,3130000,3155.0,2208.5,946.5
2018-01-31,20.7,47.9,Winter,21.4,0.0,3130000,3140.0,2198.0,942.0
2018-02-01,20.5,48.0,Winter,21.4,0.0,3130000,3120.0,2184.0,936.0
2018-02-02,20.9,50.0,Winter,21.4,0.0,3130000,3160.0,2212.0,948.0
2018-02-03,21.6,51.7,Winter,21.2,0.0,3130000,3220.0,2254.0,966.0
2018-02-04,22.4,53.9,Winter,21.1,0.0,3130000,3295.0,2306.5,988.5
